objectid,title,creator,date,description,collection,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,extra
mr_021,"Meteorite ""Kelly""",,,,Meteorites,,Display Case F3,,,,mr_021,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/05cab4fb94036fa7e754cec49e39194310ac0d25.jpg,,,,,
mr_004,"Meteorite ""Harrisonville""",,,,Meteorites,,Display Case F3,,,,mr_004,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/deb8c7704f356cff8c386fbe8e83ba5bd394b465.jpg,,,,,
mr_008,"Meteorite ""Ness City""",,,,Meteorites,,Display Case F3,,,,mr_008,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/038384656efb81f92fb2bcba0d955515ef1993f6.jpg,,,,,
mr_015,"Meteorite ""Cope""",,,,Meteorites,,Display Case F3,,,,mr_015,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/a5b070835ee98f42ad53cf9b3f55cb0bce62addf.jpg,,,,,
mr_012,"Meteorite ""Tulia""",,,,Meteorites,,Display Case F3,,,,mr_012,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/7f4cfc60025797e2604c2e25e216808200017d91.jpg,,,,,
mr_016,"Meteorite ""Staunton""",,,,Meteorites,,Display Case F3,,,,mr_016,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/33fc956b8a08760e1a984ae4482de3d46003f6cb.jpg,,,,,
mr_014,"Meteorite ""Xiquipilco""",,,,Meteorites,,Display Case F3,,,,mr_014,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/60f4220d9e5492bc56326cd50f5a6a66668094b6.jpg,,,,,
mr_009,"Meteorite ""Henbury""",,1931,,Meteorites,,Display Case F3,,,,mr_009,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/1f4e690e30b9349e281a29df2ac929c34086b6d9.jpg,,,,,
mr_007,"Meteorite ""Horace""",,,,Meteorites,,Display Case F3,,,,mr_007,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/86df7e8f05ca44a32dcde19a99234208026d015e.jpg,,,,,
mr_006,"Meteorite ""Beenham""",,1937,,Meteorites,,Display Case F3,,,,mr_006,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/678a8e781e62553e27016b5c97a327bf715d73fa.jpg,,,,,
mr_022,"Meteorite ""Breece""",,1921,,Meteorites,,Display Case F3,,,,mr_022,image,image/jpg,,,,image,https://digital-grinnell.nyc3.digitaloceanspaces.com/omeka-s/digital-grinnell/original/6601131d4a84df501244808d621167bff1d2b412.jpg,,,,,
